target,position,sentence,hypernym,definition,label
practice,3,it is their practice to give annual raises,activity,a customary way of operation or behavior,T
loss,6,the match ended in their first loss of the season ,disadvantage,the disadvantage that results from losing something,T
voice,1,the voice of experience,communication,something suggestive of speech in being a medium of expression,T
mine,5,this diamond comes from a mine in south africa ,excavation,excavation in the earth from which ores and minerals are extracted,T
mouth,4,he rode into the mouth of the canyon,opening;gap,an opening that resembles a mouth as of a cave or a gorge ,T
station,6,he started looking for a gas station,facility;installation,a facility equipped with special equipment and personnel for a particular purpose,T
opener,3,the season is opener was a game against the yankees,start,the first event in a series,T
end,1,the end of the pier,extremity,either extremity of something that has length,T
scale,5,they entertained on a grand scale,magnitude_relation;quantitative_relation,relative magnitude,T
folk,4,they are just country folk,people,people in general often used in the plural ,T
appearance,5,it was bernhardt is last appearance in america,arrival,the act of appearing in public view,T
edge,3,the water is edge,limit;demarcation;demarcation_line,the outside limit of an object or area or surface;a place farthest away from the center of something,T
spring,6,you can visit me in the spring when the weather is bearable ,season;time_of_year,the season of growth,T
visibility,1,the visibility from that angle was good ,perceptibility,quality or fact or degree of being visible;perceptible by the eye or obvious to the eye,T
check,6,he paid all his bills by check,draft;bill_of_exchange;order_of_payment,a written order directing a bank to pay money,T
hyponym,3,dog is a hyponym of animal ,word,a word that is more specific than a given word,T
face,1,the face of the city is changing,appearance;visual_aspect,the general outward appearance of something,T
overkill,11, hours of tv coverage of the us election verged on overkill ,effort;elbow_grease;exertion;travail;sweat,any effort that seems to go farther than would be necessary to achieve its goal,T
pursuit,1,unremitting pursuit of wealth does not bring happiness particularly if successful ,motion;movement;move,the act of pursuing in an effort to overtake or capture,T
tautology,15,given a boolean a a or not a is a tautology ,truth;true_statement, logic a statement that is necessarily true,T
meeting,6,they came together in a chance meeting on the way home from work ,gathering;assemblage,a formally arranged gathering,T
leak,1,a leak in a gas pipe,discharge;outpouring;run,the discharge of a fluid from some container,T
side,6,he had a pain in his side,area;region,either the left or right half of a body,T
load,7,the truck overturned while carrying a full load of oil ,indefinite_quantity,a quantity that can be processed or transported at one time,T
song,1,the song of the wind,sound,a distinctive or characteristic sound,T
unit,2,change per unit volume,definite_quantity,any division of quantity accepted as a standard of measurement or exchange,T
head,10,pour me a fresh beer this one has no head ,foam;froth,the foam or froth that accumulates at the top when you pour an effervescent liquid into a container,T
life,6,he lived a long and happy life,time_period;period_of_time;period,the period during which something is functional as between birth and death ,T
water,7,the town debated the purification of the water supply,facility;installation,a facility that provides a source of water,T
world,2,all the world loves a lover,group;grouping,all of the living human inhabitants of the earth,T
reticulation,1,the reticulation of a leaf,network,an arrangement resembling a net or network,T
pull,1,the pull of the moon,force,the force used in pulling,T
presence,6,any painter can benefit from the presence of a live model from which to draw ,being;beingness;existence,the state of being present;current existence,T
hurl,1,a hurl of abuse ,throw,a violent throw,T
top,3,he removed the top of the carton,covering,covering for a hole especially a hole in the top of a container ,T
head,6,a reduction in the assessment per head of sheep,domestic_animal;domesticated_animal,a single domestic animal,T
sense,1,a sense of self,awareness;consciousness;cognizance;cognisance;knowingness,a general conscious awareness,T
market,13,before they publish any book they try to determine the size of the market for it,class;stratum;social_class;socio-economic_class,the customers for a particular product or service,T
snorter,6,the maths problem is a real snorter is not it ,difficulty,something outstandingly difficult,T
score,2,the winning score came with less than a minute left to play,success,the act of scoring in a game or sport,T
silence,4,there was a shocked silence,condition;status,the state of being silent as when no one is speaking ,T
way,3,that is the way it is,condition;status,the condition of things generally,T
concern,6,mark is health was of great concern to connie the recent events in london are of no concern to most people in australia ,interest;involvement,something that interests you because it is important or affects you,T
one,3,this is the one i ordered,unit,a single person or thing,T
chain,1,the chain of command,series,a series of things depending on each other as if linked together,T
rate,5,he works at a great rate,temporal_property,the relative speed of progress or change,T
neighbour,1,my neighbour is very irritable and grumpy at times ,person;individual;someone;somebody;mortal;soul,a person who lives or is located near another,T
voice,3,the wee small voice of conscience,communication,something suggestive of speech in being a medium of expression,T
doctrine,5,the incarnation is a basic doctrine of classical christianity ,belief,a belief or system of beliefs accepted as authoritative by some group or school,T
business,5,he bought his brother is business,enterprise,a commercial or industrial enterprise and the people who constitute it,T
truth,4,the lawyer questioned the truth of my account,quality,the quality of being near to the true value,T
stretch,3,he did a stretch in the federal penitentiary,duration;continuance,an unbroken period of time during which you do something,T
area,3,it was his area of specialization,topic;subject;issue;matter,a subject of study,T
condition,4,hypnosis is a peculiar condition of the nervous system steps were taken to ameliorate the condition of slavery security is defined as the condition of not being threatened aging is a condition over which we are powerless ,state,a state at a particular time,T
statement,4,a cadillac makes a statement about who you are,message;content;subject_matter;substance,a nonverbal message,T
position,1,what position does he play ,role, in team sports the role assigned to an individual player,T
war,1,a war of wits,conflict;struggle;battle,an active struggle between competing entities,T
order,5,i gave the waiter my order,request;asking,a request for something to be made supplied or served,T
inactivation,2,the gene inactivation system,natural_process;natural_action;action;activity,the process of rendering inactive,T
trade,4,i had no further trade with him,transaction;dealing;dealings,a particular instance of buying or selling,T
side,9,he turned the box over to examine the bottom side,surface,an extended outer surface of an object,T
capital,10,the welsh government claims that cardiff is europe is youngest capital ,seat,a seat of government,T
membership,3,they polled their membership,body,the body of members of an organization or group,T
face,6,he managed to show a bold face despite his embarrassment ,appearance;visual_aspect,the general outward appearance of something,T
travel,1,space travel,motion;movement;move,the act of going from one place to another,T
house,3,this is my house and my family is ancestral home ,building;edifice,a dwelling that serves as living quarters for one or more families,T
set,3,the subjects set led them to solve problems the familiar way and to overlook the simpler solution,cognitive_state;state_of_mind, psychology being temporarily ready to respond in a particular way,T
ball,6,the mayor threw out the first ball,game_equipment,round object that is hit or thrown or kicked in games,T
feeling,5,the house gave me a feeling of dread ,state,the experiencing of affective and emotional states,T
year,2,this chinese year is the year of the rooster ,time_period;period_of_time;period,a period of time containing or days,T
vehicle,4,a congregation is a vehicle of group identity,medium,a medium for the expression or achievement of something,T
face,4,dew dripped from the face of the leaf,surface,a surface forming part of the outside of an object,T
note,3,he detected a note of sarcasm,air;aura;atmosphere,a characteristic emotional quality,T
loss,2,a serious loss of business,decline;diminution,gradual decline in amount or activity,T
time,6,it took more than half my time,time_period;period_of_time;period,a period of time considered as a resource under your control and sufficient to accomplish something,T
figure,2,a heroic figure,impression;effect,the impression produced by a person,T
part,1,the part of his hair was slightly to the left ,line,a line of scalp that can be seen when sections of hair are combed in opposite directions,T
didacticism,1,the didacticism expected in books for the young,communication,communication that is suitable for or intended to be instructive,T
quality,1,the quality of students has risen,degree;grade;level,a degree or grade of excellence or worth,T
area,8,the photo is a little dark in that area ,extent,the extent of a dimensional surface enclosed within a boundary,T
apparition,1,the apparition of lawyer clippurse occasioned much speculation in that portion of the world sir w scott ,appearance,an act of appearing or becoming visible unexpectedly,T
gold,5,she has a heart of gold,invaluableness;preciousness;pricelessness;valuableness,something likened to the metal in brightness or preciousness or superiority etc ,T
portfolio,10,they were disappointed by the poor returns on their stock portfolio,list;listing,a list of the financial assets held by an individual or a bank or other financial institution,T
action,2,recent federal action undermined the segregationist position,group_action,an act by a government body or supranational organization,T
head,3,he stuck his head out the window,external_body_part,the upper part of the human body or the front part of the body in animals;contains the face and brains,T
pain,5,that kid is a terrible pain,unpleasant_person;disagreeable_person,a bothersome annoying person,T
breath,4,he took a deep breath and dived into the pool,bodily_process;body_process;bodily_function;activity,the process of taking in and expelling air during breathing,T
touch,2,the cooling touch of the night air,contact;impinging;striking,the event of something coming in contact with the body,T
dozen,4,can i have a dozen eggs please ,large_integer,the cardinal number that is the sum of eleven and one,T
blowout,5,as a result of the blowout we lost all the lights,malfunction,a sudden malfunction of a part or apparatus,T
room,3,hardly enough elbow room to turn around,position;spatial_relation,space for movement,T
smile,3,she had a smile on her face ,facial_expression;facial_gesture,a facial expression characterized by turning up the corners of the mouth;usually shows pleasure or amusement,T
absence,5,he was surprised by the absence of any explanation,lack;deficiency;want,the state of being absent,T
furniture,2,how much furniture did they leave behind ,furnishing,furnishings that make a room or other area ready for occupancy,T
hardship,6,i can not think it a hardship that more indulgence is allowed to men than to women james boswell,misfortune;bad_luck,something that causes or entails suffering,T
emulsion,3,mayonnaise is an emulsion where egg is used to keep oil and water mixed ,colloid, chemistry a colloid in which both phases are liquids,T
school,5,our children attend a public school in our neighborhood ,educational_institution,an educational institution,T
bed,4,the gardener planted a bed of roses,plot;plot_of_land;plot_of_ground;patch,a plot of ground in which plants are growing,T
grace,2,god is grace is manifested in the salvation of sinners,beneficence, christian theology the free and unmerited favor or beneficence of god,T
object,1,the object of my affection,content;cognitive_content;mental_object,the focus of cognitions or feelings,T
footage,3,they had stock footage of lightning tornados and hurricanes,film;photographic_film,film that has been shot,T
floor,7,many sunken ships rest on the ocean floor ,surface;earth's_surface,the lower inside surface of any hollow structure,T
form,9,to apply for the position complete the application form ,document;written_document;papers,a printed document with spaces in which to write,T
plan,7,they drew up a six step plan,idea;thought,a series of steps to be carried out or goals to be accomplished,T
experience,3,he recalled the experience vividly,content;cognitive_content;mental_object,the content of direct observation or participation in an event,T
stuff,16,he did not want his pockets to bulge so he was walking around with all his stuff in his hands ,object;physical_object,miscellaneous unspecified objects,T
culture,16,the reason that the agency is doomed to inaction has something to do with the fbi culture,attitude;mental_attitude,the attitudes and behavior that are characteristic of a particular social group or organization,T
rap,4,it was a bum rap,reproach,a reproach for some lapse or misdeed,T
law,1,by law one is not allowed to own a wallaby in new york city ,collection;aggregation;accumulation;assemblage,the collection of rules imposed by authority,T
head,1, head of cattle and head of horses,domestic_animal;domesticated_animal,a single domestic animal,T
conflict,1,his conflict of interest made him ineligible for the post,state,a state of opposition between persons or ideas or interests,T
fire,4,barbecue over an open fire,fuel,fuel that is burning and is used as a means for cooking,T
danger,4,you are in no danger,condition;status,the condition of being susceptible to harm or injury,T
inventory,10,they stopped selling in exact sizes in order to reduce inventory,merchandise;ware;product,the merchandise that a shop has on hand,T
language,4,he recorded the spoken language of the streets,auditory_communication, language communication by word of mouth,T
enormity,5,in careful usage the noun enormity is not used to express the idea of great size,enormousness;grandness;greatness;immenseness;immensity;sizeableness;vastness;wideness,vastness of size or extent,T
shortness,1,the shortness of a stubby pencil,lowness,the property of being truncated or short,T
love,5,so that is fifteen love to kournikova ,score,a score of zero in tennis or squash,T
block,1,a block of stone ,artifact;artefact,a solid piece of something usually having flat rectangular sides ,T
series,6,his coin collection included the complete series of indian head pennies,group;grouping,a group of postage stamps having a common theme or a group of coins or currency selected as a group for study or collection,T
grain,4,sand of a fine grain,constitution;composition;physical_composition;makeup;make-up,the physical composition of something especially with respect to the size and shape of the small constituents of a substance ,T
assumption,1,their assumption of his guilt disqualified them from jury duty ,hypothesis;possibility;theory,a hypothesis that is taken for granted,T
time,2,it is time to go,moment;minute;second;instant,a suitable moment,T
run,4,he can have the run of the house ,liberty,unrestricted freedom to use,T
apology,5,he wrote a letter of apology to the hostess,acknowledgment;acknowledgement,an expression of regret at having caused trouble for someone,T
hum,1,the hum of distant traffic,noise,a humming noise,T
place,5,a political system with no place for the less prominent groups,cognition;knowledge;noesis,an abstract mental location,T
convention,1,political convention,meeting;group_meeting,a large formal assembly,T
worry,5,it is not work but worry that kills,anxiety,a strong feeling of anxiety,T
range,6,we hiked through the andes mountain range ,geological_formation;formation,a series of hills or mountains,T
dick,6,sorry girls i suck dick ,penis;phallus;member,obscene terms for penis,T
foulness,3,his display of foulness deserved severe punishment,iniquity;wickedness;darkness;dark,disgusting wickedness and immorality,T
party,5,we are expecting a large party from the london office ,social_gathering;social_affair,a group of people gathered together for pleasure,T
floor,2,the pit floor showed where a ring of post holes had been ,surface;earth's_surface,the lower inside surface of any hollow structure,T
persuasion,5,i am not of your persuasion,belief,a personal belief or judgment that is not founded on proof or certainty,T
appointment,1,the appointment had to be approved by the whole committee,decision;determination;conclusion,the act of putting a person into a non elective position,T
term,2,a prison term,time_period;period_of_time;period,a limited period of time,T
baseball,2,he played baseball in high school,ball_game;ballgame,a ball game played with a bat and ball between two teams of nine players;teams take turns at bat trying to score runs,T
neighborhood,1,my neighborhood voted for bush,community,people living near one another,T
poison,1,the poison of fascism,destructiveness,anything that harms or destroys,T
quality,13,a peasant is not allowed to fall in love with a lady of quality ,social_station;social_status;social_rank;rank,high social status,T
optimization,2,the simultaneous optimization of growth and profitability,improvement,the act of rendering optimal,T
date,1,us date tuesday may th uk date tuesday th may ,calendar_day;civil_day,the particular day month or year usually according to the gregorian calendar that an event occurred,T
exercise,4,the doctor recommended regular exercise,effort;elbow_grease;exertion;travail;sweat,the activity of exerting your muscles in various ways to keep fit,T
rock,3,he threw a rock at me,natural_object,a lump or mass of hard consolidated mineral matter,T
session,2,a filming session,meeting;coming_together,a meeting devoted to a particular activity,T
echo,4,napoleon iii was an echo of the mighty emperor but an infinitely better man,analogue;analog;parallel,a close parallel of a feeling idea style etc ,T
stuff,5,you do not have the stuff to be a united states marine,quality,unspecified qualities required to do or be something,T
foot,3,he followed on foot,walk,travel by walking,T
head,6,at five years of age this head of cattle is worth perhaps $ ,domestic_animal;domesticated_animal,a single domestic animal,T
rotation,8,the medical resident finished a two week rotation in pediatrics and began one in orthopaedics ,sequence;chronological_sequence;succession;successiveness;chronological_succession,a planned recurrent sequence of crops or personnel etc ,T
bankruptcy,1,spiritual bankruptcy,failure,a state of complete lack of some abstract property,T
indication,1,an indication of foul play,communication,something that serves to indicate or suggest,T
vicinity,6,there is a hurricane in the vicinity of the bahamas ,section,a surrounding or nearby region,T
staple,5,tow is flax with short staple ,natural_fiber;natural_fibre,a natural fiber raw cotton wool hemp flax that can be twisted to form yarn,T
sale,4,he celebrated after the sale of company ,agreement;understanding,an agreement or contract in which property is transferred from the seller vendor to the buyer vendee for a fixed price in money paid or agreed to be paid by the buyer ,T
resistance,4,the enemy offered little resistance,military_action;action,the military action of resisting the enemy is advance,T
war,2,the war on terror is a campaign against terrorist crime ,campaign;cause;crusade;drive;movement;effort,a concerted campaign to end something that is injurious,T
stomach,5,exercise gave him a good stomach for dinner,appetite;appetency;appetence,an appetite for food,T
patch,3,does not that patch of clouds looks like a bunny ,time,a period of indeterminate length usually short marked by some action or condition,T
note,5,it ended on a sour note,air;aura;atmosphere,a characteristic emotional quality,T
school,2,the whole school turned out for the game,educational_institution,an educational institution is faculty and students,T
wilderness,10,the duties of citizenship are lost sight of in the wilderness of interests of individuals and groups,profusion;profuseness;richness;cornucopia,a bewildering profusion,T
sale,5,they are having a clearance sale off ,occasion,an occasion usually brief for buying at specially reduced prices,T
weakness,1,the weakness of the span was overlooked until it collapsed,property,the property of lacking physical or mental strength;liability to failure under pressure or stress or strain,T
smoke,5,his dreams all turned to smoke,insubstantiality,something with no concrete substance,T
copy,4,the clone was a copy of its ancestor,representation,a thing made to be similar or identical to another thing,T
luck,1,bad luck caused his downfall,phenomenon,an unknown and unpredictable phenomenon that causes an event to result one way rather than another,T
stay,4,they had a nice stay in paris,act;deed;human_action;human_activity,continuing or remaining in a place or state,T
principle,2,bernoulli is principle the http en wikipedia org wiki pauli exclusion principle pauli exclusion principle prevents two fermions from occupying the same state the principle of the internal combustion engine,law;natural_law,a basic truth or law or assumption,T
grain,1,a grain of sand,atom;molecule;particle;corpuscle;mote;speck,a relatively small granular particle of a substance,T
likelihood,2,in all likelihood the meeting will be cancelled ,probability,the probability of a specified outcome,T
life,4,he gave up on life ,being;beingness;existence,the condition of living or the state of being alive,T
play,6,we saw a two act play in the theatre ,dramatic_composition;dramatic_work,a dramatic work intended for performance by actors on a stage,T
border,2,a solid border around a table of figures,edge,a decorative recessed or relieved surface on an edge,T
practice,1,the practice of the law,use;usage;utilization;utilisation;employment;exercise,the exercise of a profession,T
dingbat,4,you would be a dingbat even to try it,simpleton;simple,a silly empty headed person,T
fool,2,the village fool threw his own shoes down the well ,simpleton;simple,a person who lacks good judgment,T
procession,1,a procession of mourners the lord mayor is procession,collection;aggregation;accumulation;assemblage,the group action of a collection of people or animals or vehicles moving ahead in more or less regular formation,T
treatment,1,a treatment or cure is applied after a medical problem has already started ,care;attention;aid;tending,care provided to improve a situation especially medical procedures or applications that are intended to relieve illness or injury ,T
size,5,the only city of any size in that area,magnitude,a large magnitude,T
now,5,it worked up to right now,present;nowadays,the momentary present,T
art,3,how great thou art ,superior_skill,a superior skill that you can learn by study and practice and observation,T
return,5,they set out on their return to the base camp,motion;movement;move,the act of going back to a prior location,T
narrowness,3,frustrated by the narrowness of people is horizons,restriction;limitation,a restriction of range or scope,T
demobilization,0,demobilization of factories,social_control,act of changing from a war basis to a peace basis including disbanding or discharging troops,T
krona,4,piecas kronas five krona,swedish_monetary_unit,the basic unit of money in sweden,T
action,11,the united nations must have the power to propose and organize action without being hobbled by irrelevant issues,group_action,an act by a government body or supranational organization,T
lumberyard,6,i will just go to the lumberyard and buy some more two by fours so we can finish building this ,workplace;work,a workplace where lumber is stocked for sale,T
sense,3,it is common sense not to put metal objects in a microwave oven ,sagacity;sagaciousness;judgment;judgement;discernment,sound practical judgment,T
smile,4,he has a sinister smile ,facial_expression;facial_gesture,a facial expression characterized by turning up the corners of the mouth;usually shows pleasure or amusement,T
state,4,in a weak financial state,attribute,the way something is with respect to its main attributes,T
voice,5,the times is not the voice of new york,means;agency;way,a means or agency by which something is expressed or communicated,T
education,8,a good teacher is essential for a good education ,activity,the activities of educating or instructing;activities that impart knowledge or skill,T
drink,5,can i buy you a drink ,helping;portion;serving,a single serving of a beverage,T
shoulder,6,the car pulled off onto the shoulder,edge,a narrow edge of land usually unpaved along the side of a road,T
order,2,law and order,state,established customary state especially of society ,T
face,4,she has a pretty face ,external_body_part,the front of the human head from the forehead to the chin and ear to ear,T
ulteriority,6,his stories were too susceptible to ulteriority,quality,the quality of being ulterior,T
lightning,5,that tree was hit by lightning ,flash,the flash of light that accompanies an electric discharge in the atmosphere or something resembling such a flash ;can scintillate for a second or more,T
mire,3,caught in the mire of poverty,difficulty,a difficulty or embarrassment that is hard to extricate yourself from,T
day,4,it should arrive any day now,time,some point or period in time,T
stabilization,4,he worked for price stabilization for farm products,standardization;standardisation;normalization;normalisation,the act of stabilizing something or making it more stable,T
reaction,9,you were in the courtroom what is your reaction ,bodily_process;body_process;bodily_function;activity,a bodily process occurring due to the effect of some antecedent stimulus or agent,T
neap,2, and neap tides tides that occur during the first and third quarters of the moon and that have the least difference between high and low tides richard m schlenker and sarah j yoshida developing science activities science activities vol issue p p charts summer ,high_tide;high_water;highwater,a less than average tide occurring at the first and third quarters of the moon,T
move,5,they were pleased about their move to the country ,change,the act of changing your residence or place of business,T
case,7,the teaching consists of theory lessons and case studies ,circumstance,a special set of circumstances,T
end,5,he came to a bad end,state,a final state,T
room,0,room to pass,position;spatial_relation,space for movement,T
chain,5,this led to an unfortunate chain of events ,series,a series of things depending on each other as if linked together,T
refill,3,he got a refill of his prescription,prescription_drug;prescription;prescription_medicine;ethical_drug,a prescription drug that is provided again,T
life,1,city life,being;beingness;existence,a characteristic state or mode of living,T
reaction,12,when i last tried to eat strawberries i had a terrible allergic reaction ,bodily_process;body_process;bodily_function;activity,a bodily process occurring due to the effect of some antecedent stimulus or agent,T
appearance,4,a person makes his appearance as an historian an artist or an orator ,arrival,the act of appearing in public view,T
life,1,social life,being;beingness;existence,a characteristic state or mode of living,T
experience,4,he had a religious experience,content;cognitive_content;mental_object,the content of direct observation or participation in an event,T
buildup,4,i envied his rapid buildup of assets,accumulation;accrual;accruement,the act of building up an accumulation,T
sum,4,he borrowed a large sum,assets,a quantity of money,T
application,2,the iphone application vr connects to major social networks ,program;programme;computer_program;computer_programme,a program that gives a computer instructions that provide the user with tools to accomplish a task,T
beer,2,i love beer but i know it is bad for you ,brew;brewage,a general name for alcoholic beverages made by fermenting a cereal or mixture of cereals flavored with hops,T
ring,2,the distinctive ring of the church bell,sound,the sound of a bell ringing,T
day,4,it was a busy day on the stock exchange,work_time,the recurring hours when you are not sleeping especially those when you are working ,T
ground,6,they fought to regain the lost ground,military_position;position,a position to be won or defended in battle or as if in battle ,T
connection,4,my headache has no connection with me going out last night ,union;unification,the state of being connected,T
ringing,1,the ringing of the telephone,sound,the sound of a bell ringing,T
complexion,3,he altered the complexion of his times,point_of_view;viewpoint;stand;standpoint,a point of view or general attitude or inclination,T
dresser,4,he is a meticulous dresser,person;individual;someone;somebody;mortal;soul,a person who dresses in a particular way,T
grocery,1,the grocery store included a meat market,marketplace;market_place;mart;market,a marketplace where groceries are sold,T
notice,1,a notice of sale,announcement;promulgation,an announcement containing information about an event;a notice of sale,T
wound,20,the right reader of a good poem can tell the moment it strikes him that he has taken an immortal wound that he will never get over it robert frost,distress;hurt;suffering,a figurative injury to your feelings or pride ,T
spanking,6,he gave the brat a good spanking,discipline;correction,the act of slapping on the buttocks,T
surface,5,earthquakes originate far below the surface,layer,the outermost level of the land or sea,T
appointment,3,they made an appointment to meet at six ,meeting;get_together,a meeting arranged in advance,T
employ,4,he was in the employ of the city,state,the state of being employed or having a job,T
monopoly,4,when you have a monopoly you can ask any price you like,market;marketplace;market_place, economics a market in which there are many buyers but only one seller,T
institution,4,he had become an institution in the theater,custom;tradition,a custom that for a long time has been an important feature of some group or society,T
power,2,the deterrent power of nuclear weapons,quality,possession of controlling influence,T
area,7,it was about square feet in area,extent,the extent of a dimensional surface enclosed within a boundary,T
death,1,the death of my grandmother saddened the whole family ,change;alteration;modification,the event of dying or departure from life,T
set,1,a set of golf clubs,collection;aggregation;accumulation;assemblage,a group of things of the same kind that belong together and are so used,T
scale,6,there are some who question the scale of our ambitions ,proportion,the ratio between the size of something and a representation of it,T
light,7,hey buddy you got a light ,device,a device for lighting or igniting fuel or charges or fires,T
present,5,that is enough for the present,time,the period of time that is happening now;any continuous stretch of time including the moment of speech,T
authority,3,i have the authority to penalise the staff in my department but not the authority to sack them ,control,the power or right to give orders or make decisions,T
audience,4,every artist needs an audience,multitude;masses;mass;hoi_polloi;people;the_great_unwashed,the part of the general public interested in a source of information or entertainment,T
unemployment,3,the rate of unemployment is an indicator of the health of an economy,state,the state of being unemployed or not having a job,T
entreaty,1,an entreaty to stop the fighting,request;asking,earnest or urgent request,T
formation,1,the formation of crystals,natural_process;natural_action;action;activity,natural process that causes something to form,T
sense,1,a sense of happiness,awareness;consciousness;cognizance;cognisance;knowingness,a general conscious awareness,T
period,2,a time period of years,fundamental_quantity;fundamental_measure,an amount of time,T
dialect,5,the immigrants spoke an odd dialect of english,non-standard_speech,the usage or vocabulary that is characteristic of a specific group of people,T
property,5,charm is his most endearing property ,attribute,a basic or essential attribute shared by all members of a class,T
sale,8,i got some great bargains at their annual sale,occasion,an occasion usually brief for buying at specially reduced prices,T
one,3,he has the one but will need a two and three to go with it,digit;figure,the smallest whole number or a numeral representing this number,T
mail,6,he works for the united states mail service,communication;communicating,the system whereby messages are transmitted via the post office,T
day,4,she called it a day and went to bed,work_time,the recurring hours when you are not sleeping especially those when you are working ,T
quality,14,while being impulsive can be great for artists it is not a desirable quality for engineers ,attribute,an essential and distinguishing attribute of something or someone,T
sequence,7,he invented a technique to determine the sequence of base pairs in dna,series,serial arrangement in which things follow in logical order or a recurrent pattern,T
mine,6,he came out of the coal mine with a face covered in black ,excavation,excavation in the earth from which ores and minerals are extracted,T
commission,5,the motor was out of commission,operation,the state of being in good working order and ready for operation,T
component,1,a component or constituent element of a system,part;portion,an artifact that is one of the individual parts of which a composite entity is made up;especially a part that can be separated from or attached to a system,T
body,6,he felt as if his whole body were on fire,natural_object,the entire structure of an organism an animal plant or human being ,T
call,4,he placed a phone call to london,telephone;telephony,a telephone connection,T
luck,5,i could not believe my luck when i found a fifty dollar bill on the street ,phenomenon,an unknown and unpredictable phenomenon that causes an event to result one way rather than another,T
priority,8,he set his e mail message is priority to high ,high_status,status established in order of importance or urgency,T
shot,6,i caught him with a solid shot to the chin,blow,a blow hard enough to cause injury,T
wound,7,deep in her breast lives the silent wound,distress;hurt;suffering,a figurative injury to your feelings or pride ,T
drink,4,he jumped into the drink and had to be rescued,body_of_water;water,any large deep body of water,T
trombone,1,this trombone is very expensive ,brass;brass_instrument,a brass instrument consisting of a long tube whose length can be varied by a u shaped slide,T
tautology,1,a tautology can be verified by constructing a truth tree for its negation if all of the leaf nodes of such truth tree end in x is then the original pre negated formula is a tautology ,truth;true_statement, logic a statement that is necessarily true,T
support,6,the president no longer has the support of his own party,aid;assist;assistance;help,aiding the cause or policy or interests of,T
commercialization,6,the government tried to accelerate the commercialization of this development,exploitation;development,the act of commercializing something;involving something in commerce,T
place,3,he overstepped his place,social_station;social_status;social_rank;rank,proper or designated social situation,T
run,7,the assembly line was on a hour run,time_period;period_of_time;period,the continuous period of time during which something a machine or a factory operates or continues in operation,T
leak,1,a leak in a roof,discharge;outpouring;run,the discharge of a fluid from some container,T
effect,6,the new law will come into effect on the first day of next year ,validity;validness, of a law having legal validity,T
space,3,the architect left space in front of the building,amorphous_shape,an empty area usually bounded in some way between things ,T
block,9,the store is huge occupying an entire city block ,area;country,a rectangular area in a city surrounded by streets and usually containing several buildings,T
cot,2,a roller cot the clothing of a drawing roller in a spinning frame ,sheath,a sheath worn to protect a finger,T
drain,1,a drain on resources,depletion,a gradual depletion of energy or resources,T
business,7,a small mom and pop business,enterprise,a commercial or industrial enterprise and the people who constitute it,T
iota,5,as a greek numeral iota represents ten ,letter;letter_of_the_alphabet;alphabetic_character,the th letter of the greek alphabet,T
day,2,in the day of the dinosaurs,era;epoch,an era of existence or influence,T
direction,3,he checked the direction and velocity of the wind,position;spatial_relation,the spatial relation between something and the course along which it points or moves,T
church,6,this building used to be a church before being converted into a library ,place_of_worship;house_of_prayer;house_of_god;house_of_worship,a place for public especially christian worship,T
passer,13,england coach sven g ran eriksson hailed midfielder david beckham as possibly the best passer in the world http news bbc co uk sport hi football world cup stm bbc sport eriksson salutes beckham brilliance,student;pupil;educatee,a student who passes an examination,T
machinery,1,the machinery of command labored and brought forth an order,system;scheme,a system of means and activities whereby a social institution functions,T
drop,3,there was a drop in pressure in the pulmonary artery,decrease;decrement,a sudden sharp decrease in some quantity,T
firewood,6,they collected and cut their own firewood,fuel,wood used for fuel,T
bum,9,that guy keeps interrupting the concert throw the bum out ,nonworker,person who does no work,T
side,1,which side of the tray shall i put it on ,area;region,either the left or right half of a body,T
hyponym,4, a is a hyponym of b means that a is a type of b ,word,a word that is more specific than a given word,T
bum,2,a lazy bum,nonworker,person who does no work,T
dozen,7,there should not be more than two dozen christmas cards left to write ,large_integer,the cardinal number that is the sum of eleven and one,T
life,0,life depends on many chemical and physical processes,being;beingness;existence,the condition of living or the state of being alive,T
check,2,place a check by the things you have done ,mark,a mark indicating that something has been noted or completed etc ,T
tone,5,he spoke in a nervous tone of voice,manner_of_speaking;speech;delivery,the quality of a person is voice,T
language,3,he uttered harsh language,auditory_communication, language communication by word of mouth,T
art,1,the art of conversation,superior_skill,a superior skill that you can learn by study and practice and observation,T
title,12,he looked for books with the word jazz in the title,name,the name of a work of art or literary composition etc ,T
point,4,to fall off a point,direction,any of horizontal directions indicated on the card of a compass,T
woodenness,4,there was a certain woodenness in his replies,awkwardness;clumsiness;gracelessness;stiffness,the quality of being wooden and awkward,T
reproduction,1,unauthorized reproduction of this article is prohibited ,copying,the act of making copies,T
language,3,the gift of language,communication,a systematic means of communicating by the use of sounds or conventional symbols,T
product,3,they improve their product every year,creation,an artifact that has been created by someone or some process,T
forefront,6,the cotswolds were once at the forefront of woollen manufacturing in england,position;view;perspective,the position of greatest importance or advancement;the leading position in any movement or field,T
nick,9,he was arrested and taken down to sun hill nick police station to be charged ,prison;prison_house, british slang a prison,T
ball,1,a ball of fire,sphere,an object with a spherical shape,T
estate,5,the family owned a large estate on long island,real_property;real_estate;realty;immovable,extensive landed property especially in the country retained by the owner for his own use,T
cup,3,he drank a cup of coffee,containerful,the quantity a cup will hold,T
